"Name","State","Total_Points","Pre_Rating","Average_Opponent_Rating"
" GARY HUA                        ","   ON ","6.0  ","1794",NA
" DAKSHESH DARURI                 ","   MI ","6.0  ","1553",NA
" ADITYA BAJAJ                    ","   MI ","6.0  ","1384",NA
" PATRICK H SCHILLING             ","   MI ","5.5  ","1716",NA
" HANSHI ZUO                      ","   MI ","5.5  ","1655",NA
" HANSEN SONG                     ","   OH ","5.0  ","1686",NA
" GARY DEE SWATHELL               ","   MI ","5.0  ","1649",NA
" EZEKIEL HOUGHTON                ","   MI ","5.0  ","1641",NA
" STEFANO LEE                     ","   ON ","5.0  ","1411",NA
" ANVIT RAO                       ","   MI ","5.0  ","1365",NA
" CAMERON WILLIAM MC LEMAN        ","   MI ","4.5  ","1712",NA
" KENNETH J TACK                  ","   MI ","4.5  ","1663",NA
" TORRANCE HENRY JR               ","   MI ","4.5  ","1666",NA
" BRADLEY SHAW                    ","   MI ","4.5  ","1610",NA
" ZACHARY JAMES HOUGHTON          ","   MI ","4.5  ","1220",NA
" MIKE NIKITIN                    ","   MI ","4.0  ","1604",NA
" RONALD GRZEGORCZYK              ","   MI ","4.0  ","1629",NA
" DAVID SUNDEEN                   ","   MI ","4.0  ","1600",NA
" DIPANKAR ROY                    ","   MI ","4.0  ","1564",NA
" JASON ZHENG                     ","   MI ","4.0  ","1595",NA
" DINH DANG BUI                   ","   ON ","4.0  ","1563",NA
" EUGENE L MCCLURE                ","   MI ","4.0  ","1555",NA
" ALAN BUI                        ","   ON ","4.0  ","1363",NA
" MICHAEL R ALDRICH               ","   MI ","4.0  ","1229",NA
" LOREN SCHWIEBERT                ","   MI ","3.5  ","1745",NA
" MAX ZHU                         ","   ON ","3.5  ","1579",NA
" GAURAV GIDWANI                  ","   MI ","3.5  ","1552",NA
" SOFIA ADINA STANESCU-BELLU      ","   MI ","3.5  ","1507",NA
" CHIEDOZIE OKORIE                ","   MI ","3.5  ","1602",NA
" GEORGE AVERY JONES              ","   ON ","3.5  ","1522",NA
" RISHI SHETTY                    ","   MI ","3.5  ","1494",NA
" JOSHUA PHILIP MATHEWS           ","   ON ","3.5  ","1441",NA
" JADE GE                         ","   MI ","3.5  ","1449",NA
" MICHAEL JEFFERY THOMAS          ","   MI ","3.5  ","1399",NA
" JOSHUA DAVID LEE                ","   MI ","3.5  ","1438",NA
" SIDDHARTH JHA                   ","   MI ","3.5  ","1355",NA
" AMIYATOSH PWNANANDAM            ","   MI ","3.5  ",NA,NA
" BRIAN LIU                       ","   MI ","3.0  ","1423",NA
" JOEL R HENDON                   ","   MI ","3.0  ","1436",NA
" FOREST ZHANG                    ","   MI ","3.0  ","1348",NA
" KYLE WILLIAM MURPHY             ","   MI ","3.0  ","1403",NA
" JARED GE                        ","   MI ","3.0  ","1332",NA
" ROBERT GLEN VASEY               ","   MI ","3.0  ","1283",NA
" JUSTIN D SCHILLING              ","   MI ","3.0  ","1199",NA
" DEREK YAN                       ","   MI ","3.0  ","1242",NA
" JACOB ALEXANDER LAVALLEY        ","   MI ","3.0  ",NA,NA
" ERIC WRIGHT                     ","   MI ","2.5  ","1362",NA
" DANIEL KHAIN                    ","   MI ","2.5  ","1382",NA
" MICHAEL J MARTIN                ","   MI ","2.5  ","1291",NA
" SHIVAM JHA                      ","   MI ","2.5  ","1056",NA
" TEJAS AYYAGARI                  ","   MI ","2.5  ","1011",NA
" ETHAN GUO                       ","   MI ","2.5  ",NA,NA
" JOSE C YBARRA                   ","   MI ","2.0  ","1393",NA
" LARRY HODGE                     ","   MI ","2.0  ","1270",NA
" ALEX KONG                       ","   MI ","2.0  ","1186",NA
" MARISA RICCI                    ","   MI ","2.0  ","1153",NA
" MICHAEL LU                      ","   MI ","2.0  ","1092",NA
" VIRAJ MOHILE                    ","   MI ","2.0  ",NA,NA
" SEAN M MC CORMICK               ","   MI ","2.0  ",NA,NA
" JULIA SHEN                      ","   MI ","1.5  ",NA,NA
" JEZZEL FARKAS                   ","   ON ","1.5  ",NA,NA
" ASHWIN BALAJI                   ","   MI ","1.0  ","1530",NA
" THOMAS JOSEPH HOSMER            ","   MI ","1.0  ","1175",NA
" BEN LI                          ","   MI ","1.0  ","1163",NA
